Time (s),Actual Linear Velocity (m/s),Actual Angular Velocity (rad/s),Expected Linear Velocity (m/s),Expected Angular Velocity (rad/s)
0.06106472015,0,0,,
0.1110544205,0,0,,
0.1609730721,0,0,,
0.2110440731,0,0,,
0.2609791756,0,0,,
0.3110487461,0,0,,
0.3609824181,0,0,,
0.4110548496,0,0,,
0.4609780312,0,0,,
0.5110244751,0,0,,
0.5609846115,0,0,,
0.6109955311,0,0,,
0.6609802246,0,0,,
0.7110197544,0,0,,
0.7609946728,0,0,,
0.8110001087,0,0,,
0.8609831333,0,0,,
0.9110062122,0,0,,
0.9609820843,0,0,,
1.011040211,0,0,,
1.060992718,0,0,,
1.11100769,0,0,,
1.160984516,0,0,,
1.210994005,0,0,,
1.260982752,0,0,,
1.311000586,0,0,,
1.360997677,0,0,,
1.411009789,0,0,,
1.460987329,0,0,,
1.510997772,0,0,,
1.560992002,0,0,,
1.610997438,0,0,,
1.660990715,0,0,,
1.71100831,0,0,,
1.760994434,0,0,,
1.811003208,0,0,,
1.860992432,0,0,,
1.910998106,0,0,,
1.960992813,0,0,,
2.011000633,0,0,,
2.061013699,0,0,,
2.111001492,0,0.2868706062,,
2.160994768,0.0003956835947,0.8457736837,,
2.211005926,0.0007913671894,1.295863773,,
2.260996103,0.0003956835947,1.726169682,,
2.311039209,-0.001187050784,1.88444312,,
2.361004353,-0.002769785163,1.943795659,,
2.41100812,-0.0003956835947,1.973471929,,
2.461000681,-0.0007913671894,1.988310063,,
2.511007071,-0.001582734379,1.978417974,,
2.560999393,0.001582734379,1.958633794,,
2.611007452,0.001582734379,1.968525884,,
2.661002159,0.001187050784,1.983364019,,
2.711025238,0.0003956835947,2.013040288,,
2.761061192,-0.0003956835947,2.022932378,,
2.811055899,0,2.017986333,,
2.861003399,0,2.017986333,,
2.91101265,0,2.017986333,,
2.961003065,-0.001582734379,1.998202153,,
3.011020184,-0.0007913671894,1.998202153,,
3.061030865,0,1.998202153,,
3.111043453,-0.003165468758,1.988310063,,
3.161034346,-0.001978417974,1.963579839,,
3.211017132,0.0003956835947,1.963579839,,
3.261009455,0.0007913671894,1.958633794,,
3.311020136,0.0007913671894,1.978417974,,
3.361040592,0.002769785163,2.003148198,,
3.411021709,0.0007913671894,2.017986333,,
3.461011648,0.002374101568,2.027878423,,
3.511047125,0.0007913671894,2.037770513,,
3.561011076,-0.003165468758,1.998202153,,
3.611036301,-0.001978417974,1.973471929,,
3.661037207,-0.0003956835947,1.973471929,,
3.711020231,-0.001582734379,1.978417974,,
3.76102972,-0.0007913671894,1.978417974,,
3.811023235,-0.0003956835947,1.973471929,,
3.861014843,0.0007913671894,1.968525884,,
3.911016941,0.001187050784,1.973471929,,
3.96103549,0.0007913671894,1.978417974,,
4.011038065,0,1.998202153,,
4.061036825,0.001187050784,2.003148198,,
4.111035109,0.001187050784,2.022932378,,
4.161033154,-0.0003956835947,2.022932378,,
4.211024761,-0.0007913671894,2.017986333,,
4.261035204,0.0007913671894,2.017986333,,
4.311028242,-0.002374101568,2.008094243,,
4.361040354,-0.003165468758,1.988310063,,
4.411027908,-0.001187050784,1.983364019,,
4.461046696,-0.0007913671894,1.958633794,,
4.511027336,0,1.958633794,,
0.1171352863,,,0,0
0.2171418667,,,0,0
0.3173544407,,,0,0
0.4169721603,,,0,0
0.5168261528,,,0,0
0.616704464,,,0,0
0.7174985409,,,0,0
0.8169574738,,,0,0
0.9167621136,,,0,0
1.017135859,,,0,0
1.117019653,,,0,0
1.217409849,,,0,0
1.316722155,,,0,0
1.416722775,,,0,0
1.519494534,,,0,0
1.61685276,,,0,0
1.717382431,,,0,0
1.817135572,,,0,0
1.917159557,,,0,0
2.016984463,,,0,2
2.116882086,,,0,2
2.21696353,,,0,2
2.316910028,,,0,2
2.417155981,,,0,2
2.51698947,,,0,2
2.617280483,,,0,2
2.717391253,,,0,2
2.816904306,,,0,2
2.916971207,,,0,2
3.016754389,,,0,2
3.117040396,,,0,2
3.217128277,,,0,2
3.316721439,,,0,2
3.416813374,,,0,2
3.51714015,,,0,2
3.616900444,,,0,2
3.716722965,,,0,2
3.817407608,,,0,2
3.917153835,,,0,2
4.017142296,,,0,2
4.11691165,,,0,2
4.217125177,,,0,2
4.317167759,,,0,2
4.41690135,,,0,2